epoch,accuracy,loss,val_accuracy,val_loss
0,0.7409999966621399,0.7976558804512024,0.637499988079071,0.8099730610847473
1,0.8309999704360962,0.41681545972824097,0.8849999904632568,0.2827596366405487
2,0.8679999709129333,0.3147464990615845,0.8100000023841858,0.5227733850479126
3,0.890999972820282,0.2848619520664215,0.8799999952316284,0.30436307191848755
4,0.9200000166893005,0.21726392209529877,0.9024999737739563,0.2787243127822876
5,0.9240000247955322,0.19582299888134003,0.8887500166893005,0.316446453332901
6,0.9259999990463257,0.1763845980167389,0.8912500143051147,0.367948979139328
7,0.9570000171661377,0.12282335013151169,0.8187500238418579,0.7558402419090271
8,0.9520000219345093,0.11594393849372864,0.8712499737739563,0.573972225189209
9,0.9620000123977661,0.12686209380626678,0.887499988079071,0.42535874247550964
